"trip_date","hour_of_day","day_of_week","operator","trips","shared_requests","shared_requested_matches","shared_orphan_matches","actual_shared_trips","wav_requests","wav_requested_matches","wav_unrequested_matches","actual_wav_trips","access_a_ride_trips","access_a_ride_wav_requests","access_a_ride_wav_requested_matches","access_a_ride_wav_matches"
"2025-01-04",11,6,"Lyft",6643,0,0,0,0,23,23,1070,1093,12,1,1,3
"2025-01-04",11,6,"Uber",22106,903,425,0,425,49,49,1324,1373,36,3,3,3
"2025-01-04",12,6,"Lyft",7040,0,0,0,0,28,28,1140,1168,21,4,4,5
"2025-01-04",12,6,"Uber",23090,1017,488,0,488,52,52,1467,1519,26,5,5,9
"2025-01-04",13,6,"Lyft",7254,0,0,0,0,20,20,1249,1269,18,2,2,7
"2025-01-04",13,6,"Uber",24568,1080,538,0,538,78,78,1593,1671,35,5,5,5
"2025-01-04",14,6,"Lyft",7329,0,0,0,0,20,20,1345,1365,18,2,2,2
"2025-01-04",14,6,"Uber",25482,1287,668,0,668,63,63,1786,1849,33,5,5,6
"2025-01-04",15,6,"Lyft",7781,0,0,0,0,17,17,1436,1453,9,1,1,4
"2025-01-04",15,6,"Uber",26977,1345,741,0,741,52,52,1897,1949,30,3,3,4
"2025-01-04",16,6,"Lyft",7940,0,0,2,2,20,20,1460,1480,10,2,2,5
"2025-01-04",16,6,"Uber",28143,1362,726,0,726,65,65,1948,2013,36,5,5,8
"2025-01-04",17,6,"Lyft",10096,0,0,0,0,25,25,1777,1802,14,2,2,3
"2025-01-04",17,6,"Uber",29656,1552,911,0,911,60,60,2068,2128,34,5,5,6
"2025-01-04",18,6,"Lyft",10938,0,0,0,0,20,20,1915,1935,16,2,2,5
"2025-01-04",18,6,"Uber",31742,1583,975,0,975,61,61,2291,2352,17,2,2,4
"2025-01-04",19,6,"Lyft",11286,0,0,0,0,22,22,1796,1818,9,0,0,2
"2025-01-04",19,6,"Uber",31809,1645,1015,0,1015,43,43,2268,2311,26,2,2,7
"2025-01-04",20,6,"Lyft",10260,0,0,0,0,22,22,1680,1702,10,1,1,1
"2025-01-04",20,6,"Uber",29396,1526,926,0,926,46,46,1956,2002,20,3,3,4
"2025-01-04",21,6,"Lyft",10347,0,0,0,0,17,17,1671,1688,10,0,0,1
"2025-01-04",21,6,"Uber",29277,1758,1202,0,1202,33,33,1950,1983,18,0,0,1
"2025-01-04",22,6,"Lyft",10804,0,0,1,1,13,13,1650,1663,9,0,0,2
"2025-01-04",22,6,"Uber",29614,1842,1313,0,1313,30,30,2018,2048,17,0,0,3
"2025-01-04",23,6,"Lyft",10925,0,0,1,1,12,12,1538,1550,6,1,1,1
"2025-01-04",23,6,"Uber",30050,2036,1488,0,1488,21,21,2160,2181,12,0,0,1
"2025-01-05",0,7,"Lyft",9772,0,0,0,0,10,10,1370,1380,3,0,0,0
"2025-01-05",0,7,"Uber",24042,1775,1169,0,1169,10,10,1695,1705,11,1,1,1
"2025-01-05",1,7,"Lyft",7264,0,0,0,0,12,12,979,991,2,0,0,0
"2025-01-05",1,7,"Uber",17520,1412,913,0,913,12,12,1190,1202,5,0,0,0
"2025-01-05",2,7,"Lyft",5565,0,0,0,0,11,11,769,780,1,0,0,1
"2025-01-05",2,7,"Uber",12659,1092,720,0,720,11,11,777,788,5,1,1,1
"2025-01-05",3,7,"Lyft",3911,0,0,0,0,7,7,537,544,1,0,0,0
"2025-01-05",3,7,"Uber",9921,972,636,0,636,8,8,610,618,2,1,1,1
"2025-01-05",4,7,"Lyft",3223,0,0,0,0,5,5,479,484,0,0,0,0
"2025-01-05",4,7,"Uber",8021,791,480,0,480,4,4,457,461,1,0,0,0
"2025-01-05",5,7,"Lyft",2688,0,0,0,0,2,2,451,453,0,0,0,0
"2025-01-05",5,7,"Uber",6824,668,377,0,377,2,2,343,345,3,0,0,0
"2025-01-05",6,7,"Lyft",3086,0,0,0,0,3,3,473,476,1,0,0,1
"2025-01-05",6,7,"Uber",8827,997,640,0,640,3,3,483,486,2,0,0,0
"2025-01-05",7,7,"Lyft",3615,0,0,0,0,6,6,593,599,2,1,1,1
"2025-01-05",7,7,"Uber",11430,1180,735,0,735,5,5,669,674,5,0,0,0
"2025-01-05",8,7,"Lyft",4011,0,0,0,0,6,6,705,711,5,1,1,2
"2025-01-05",8,7,"Uber",13368,1069,594,0,594,12,12,769,781,10,1,1,2
"2025-01-05",9,7,"Lyft",5196,0,0,0,0,14,14,876,890,4,0,0,0
"2025-01-05",9,7,"Uber",17486,950,533,0,533,33,33,1023,1056,28,4,4,5
"2025-01-05",10,7,"Lyft",6116,0,0,0,0,18,18,1076,1094,9,1,1,1
"2025-01-05",10,7,"Uber",21220,991,506,0,506,33,33,1331,1364,20,2,2,3
"2025-01-05",11,7,"Lyft",6488,0,0,0,0,19,19,1050,1069,12,1,1,4
"2025-01-05",11,7,"Uber",22222,905,467,0,467,52,52,1414,1466,30,2,2,3
"2025-01-05",12,7,"Lyft",6723,0,0,0,0,25,25,1181,1206,13,1,1,3
"2025-01-05",12,7,"Uber",22880,973,479,0,479,46,46,1428,1474,33,3,3,5
"2025-01-05",13,7,"Lyft",6626,0,0,0,0,19,19,1234,1253,17,3,3,4
"2025-01-05",13,7,"Uber",23482,1068,571,0,571,50,50,1551,1601,42,3,3,4
"2025-01-05",14,7,"Lyft",6466,0,0,0,0,22,22,1191,1213,7,1,1,1
"2025-01-05",14,7,"Uber",24202,1124,602,0,602,57,57,1670,1727,36,4,4,6
"2025-01-05",15,7,"Lyft",6418,0,0,0,0,23,23,1225,1248,7,1,1,1
"2025-01-05",15,7,"Uber",24518,1180,648,0,648,52,52,1722,1774,29,2,2,2
"2025-01-05",16,7,"Lyft",6621,0,0,0,0,21,21,1282,1303,11,0,0,1
"2025-01-05",16,7,"Uber",24709,1225,604,0,604,61,61,1822,1883,36,2,2,5
"2025-01-05",17,7,"Lyft",7794,0,0,0,0,16,16,1371,1387,7,1,1,1
"2025-01-05",17,7,"Uber",25249,1286,687,0,687,60,60,1876,1936,26,3,3,5
"2025-01-05",18,7,"Lyft",8173,0,0,0,0,15,15,1429,1444,7,0,0,1
"2025-01-05",18,7,"Uber",24854,1317,722,0,722,40,40,1829,1869,15,0,0,1
"2025-01-05",19,7,"Lyft",7962,0,0,0,0,19,19,1315,1334,5,1,1,1
"2025-01-05",19,7,"Uber",23492,1353,765,0,765,31,31,1644,1675,21,3,3,3
"2025-01-05",20,7,"Lyft",6932,0,0,0,0,11,11,1221,1232,5,0,0,0
"2025-01-05",20,7,"Uber",21219,1401,862,0,862,40,40,1430,1470,17,2,2,3
"2025-01-05",21,7,"Lyft",6762,0,0,0,0,13,13,1166,1179,4,1,1,2
"2025-01-05",21,7,"Uber",20060,1307,851,0,851,21,21,1273,1294,14,2,2,3
"2025-01-05",22,7,"Lyft",6212,0,0,0,0,14,14,968,982,9,1,1,2
"2025-01-05",22,7,"Uber",18316,1430,923,0,923,21,21,1136,1157,7,1,1,1
"2025-01-05",23,7,"Lyft",5682,0,0,0,0,6,6,993,999,5,0,0,1
"2025-01-05",23,7,"Uber",15821,1539,1069,0,1069,12,12,854,866,6,0,0,0
"2025-01-06",0,1,"Lyft",4162,0,0,0,0,2,2,738,740,2,0,0,1
"2025-01-06",0,1,"Uber",10228,1095,621,0,621,6,6,503,509,9,0,0,2
"2025-01-06",1,1,"Lyft",2386,0,0,0,0,5,5,423,428,2,0,0,1
"2025-01-06",1,1,"Uber",5646,588,263,0,263,3,3,279,282,1,0,0,0
"2025-01-06",2,1,"Lyft",1620,0,0,0,0,1,1,314,315,0,0,0,0
"2025-01-06",2,1,"Uber",3823,391,176,0,176,4,4,191,195,2,1,1,1
"2025-01-06",3,1,"Lyft",1417,0,0,0,0,0,0,355,355,0,0,0,0
"2025-01-06",3,1,"Uber",3628,405,161,0,161,1,1,159,160,4,0,0,1
"2025-01-06",4,1,"Lyft",2212,0,0,0,0,1,1,413,414,0,0,0,0
"2025-01-06",4,1,"Uber",5045,452,219,0,219,5,5,253,258,1,0,0,0
"2025-01-06",5,1,"Lyft",3448,0,0,0,0,2,2,522,524,1,0,0,0
"2025-01-06",5,1,"Uber",7780,635,323,0,323,8,8,430,438,7,0,0,0
"2025-01-06",6,1,"Lyft",6439,0,0,0,0,4,4,684,688,4,0,0,1
"2025-01-06",6,1,"Uber",13815,1025,637,0,637,8,8,867,875,13,0,0,2
"2025-01-06",7,1,"Lyft",10437,0,0,3,3,15,15,1082,1097,7,0,0,0
"2025-01-06",7,1,"Uber",22328,1303,813,0,813,35,35,1456,1491,25,2,2,3
"2025-01-06",8,1,"Lyft",12486,0,0,0,0,32,32,1221,1253,13,1,1,1
"2025-01-06",8,1,"Uber",28323,1553,931,0,931,68,68,1926,1994,36,2,2,5
"2025-01-06",9,1,"Lyft",8779,0,0,0,0,31,31,1018,1049,15,2,2,5
"2025-01-06",9,1,"Uber",23018,1120,575,0,575,104,104,1525,1629,22,2,2,3
"2025-01-06",10,1,"Lyft",7203,0,0,0,0,56,56,1139,1195,15,3,3,6
"2025-01-06",10,1,"Uber",19738,856,367,0,367,109,109,1185,1294,25,0,0,0
"2025-01-06",11,1,"Lyft",6353,0,0,0,0,34,34,1290,1324,12,2,2,4
"2025-01-06",11,1,"Uber",18666,706,247,0,247,126,126,1144,1270,36,5,5,6
"2025-01-06",12,1,"Lyft",6680,0,0,0,0,62,62,1336,1398,19,5,5,8
"2025-01-06",12,1,"Uber",19131,700,245,0,245,135,135,1104,1239,40,3,3,4
"2025-01-06",13,1,"Lyft",6964,0,0,0,0,43,43,1320,1363,16,2,2,4
"2025-01-06",13,1,"Uber",20077,948,372,0,372,129,129,1263,1392,36,7,7,13
"2025-01-06",14,1,"Lyft",7175,0,0,0,0,51,51,1139,1190,18,2,2,6
"2025-01-06",14,1,"Uber",22226,945,403,0,403,124,124,1557,1681,35,4,4,6
"2025-01-06",15,1,"Lyft",7187,0,0,0,0,42,42,1122,1164,12,3,3,4
"2025-01-06",15,1,"Uber",22150,1060,471,0,471,89,89,1595,1684,29,4,4,6
"2025-01-06",16,1,"Lyft",7273,0,0,0,0,35,35,1072,1107,9,3,3,4
"2025-01-06",16,1,"Uber",22865,1163,519,0,519,75,75,1672,1747,40,6,6,8
"2025-01-06",17,1,"Lyft",8722,0,0,0,0,30,30,1197,1227,14,2,2,2
"2025-01-06",17,1,"Uber",25882,1437,720,0,720,61,61,1958,2019,37,4,4,4
"2025-01-06",18,1,"Lyft",8072,0,0,0,0,24,24,1093,1117,10,0,0,2
"2025-01-06",18,1,"Uber",25309,1330,671,0,671,39,39,1928,1967,21,1,1,3
"2025-01-06",19,1,"Lyft",7330,0,0,0,0,16,16,1153,1169,5,2,2,2
"2025-01-06",19,1,"Uber",21956,1182,571,0,571,31,31,1502,1533,16,1,1,2
"2025-01-06",20,1,"Lyft",6651,0,0,1,1,20,20,1192,1212,4,2,2,4
"2025-01-06",20,1,"Uber",20284,1131,590,0,590,27,27,1265,1292,15,3,3,4
"2025-01-06",21,1,"Lyft",6212,0,0,0,0,12,12,1125,1137,4,1,1,1
"2025-01-06",21,1,"Uber",19154,1069,598,0,598,18,18,1145,1163,9,1,1,1
"2025-01-06",22,1,"Lyft",6028,0,0,0,0,9,9,876,885,2,0,0,0
"2025-01-06",22,1,"Uber",17214,1216,697,0,697,14,14,1055,1069,11,2,2,4
"2025-01-06",23,1,"Lyft",5023,0,0,0,0,7,7,697,704,3,0,0,0
